Level,Track 1: AI,Track 2: BI,Track 3: Data Analysis,Track 4: Data Architecture,Track 5: Data Development,Track 6: Data Science,Track 7: ML,Track 8: Customer Success,Track 9: Management,Track 10: Content & Comm,Track 11: Digital Strategy,Track 12: UI Design,Track 13: UX Design,Track 14: UX Research,Track 15: Business Analysis,Track 16: Product Management,Track 17: Backend Dev,Track 18: Cloud & Infra,Track 19: Cybersecurity,Track 20: Frontend Dev,Track 21: Full-Stack Dev,Track 22: Mobile Dev,Track 23: QA,Track 24: Software Arch,Track 25: Software Dev,Track 26: Tech Support,Track 27: Gaming & Immersive,Track 28: Agile/Scrum,Track 29: Sales & BD,Track 30: Finance & Ops,Track 31: Talent & HR,Track 32: Content Strategy,Track 33: Salesforce
INTERN,,,,,,,,,,,,,,,,,,,,,,,,,,,Developer Intern | Support Analyst Intern | Tech Intern | UI Designer Intern,,,,,
L2 (Junior),,BI Analyst (Jr),Data Analyst (Jr),,Data Developer (Jr),Data Scientist (Jr),,Customer Service (Jr),,,,UI Designer (Jr),,UX Researcher (Jr),,,,DevOps Specialist (Jr),,Frontend Developer (Jr),,,QA Analyst (Jr),,Developer (Jr),Support Analyst (Jr),Immersive Experience Developer (Jr),,,,,,
L3 (Mid-Level),,BI Analyst (Mid),Data Analyst (Mid),,Data Developer (Mid),Data Scientist (Mid),ML Specialist (Mid),Customer Service (Mid),Team Manager (Mid),Copywriter (Mid),,UI Designer (Mid),UX Designer (Mid),UX Researcher (Mid),Business Analyst (Mid),,Backend Developer (Mid),DevOps Specialist (Mid) | Cloud Specialist (Mid),Information Security Specialist (Mid),Frontend Developer (Mid),Full-Stack Developer (Mid),Mobile Developer (Mid),QA Analyst (Mid) | Test Automation Specialist (Mid),Software Architect (Mid),Developer (Mid),Support Analyst (Mid),Immersive Experience Developer (Mid),Scrum Master (Mid),,Fiscal Analyst (Mid),Talent Specialist (Mid),Content Manager (Mid),Salesforce Specialist (Mid)
L4 (Senior),AI Specialist (Sr),BI Analyst (Sr),Data Analyst (Sr),,Data Developer (Sr),Data Scientist (Sr),ML Specialist (Sr),CX Manager (Sr),Team Manager (Sr),Copywriter (Sr),Digital Strategist (Sr),UI Designer (Sr),UX Designer (Sr),UX Researcher (Sr),Business Analyst (Sr),Product Owner (Sr),Backend Developer (Sr),DevOps Specialist (Sr) | Cloud Specialist (Sr) | Platform Specialist (Sr) | SRE Specialist (Sr),Information Security Specialist (Sr),Frontend Developer (Sr),Full-Stack Developer (Sr),Mobile Developer (Sr),QA Analyst (Sr) | Test Automation Specialist (Sr),Software Architect (Sr),Developer (Sr),Support Analyst (Sr),Immersive Experience Developer (Sr),Scrum Master (Sr),Client Manager (Sr),Process Analyst (Sr),Talent Specialist (Sr),Content Strategist (Sr),Salesforce Specialist (Sr)
L5 (Master/Manager),AI Specialist (Master),BI Architect (Master),Data Analyst (Master) | Data Analytics Manager,Data Architect (Master),Data Developer (Master),Data Scientist (Master),ML Specialist (Master),CX Manager (Master),Project Manager (Master),Content Lead (Master),Digital Strategist (Master),UI Designer (Master) | UI Design Manager,UX Designer (Master) | UX Manager,UX Researcher (Master),Lead Business Analyst (Master),Product Manager (Master),Backend Developer (Master),DevOps Specialist (Master) | Cloud Architect (Master) | Platform Specialist (Master) | SRE Specialist (Master),Security Architect (Master),Frontend Developer (Master),Full-Stack Developer (Master),Mobile Developer (Master),QA Analyst (Master) | QA Manager (Master) | Test Automation Architect (Master),Systems Architect (Master),Developer (Master),Support Manager (Master),Immersive Experience Architect (Master),Agile Coach (Master),Client Director (Master),Finance Manager (Master),Talent Manager (Master),Content Strategy Director (Master),Salesforce Architect (Master)
L6 (Expert/Sr Manager),,,,Principal Data Architect (Expert),,,,,Program Manager (Expert),,,,,,,Product Director (Expert),,,,,,,,Principal Architect (Expert),Developer (Expert),,Immersive Experience Architect (Expert),,Sales Director (Expert),,,Senior Content Strategy Director,
L7 (Exec Manager),,,,,,,,,Executive Manager,,,,,,,,,,,,,,,,,,,,,,,,
L8 (Exec Director),,,,,,,,,Executive Director,,,,,,,,,,,,,,,,,,,,,,,,

