Login,Role,Standard Role,Role Base Name,Role Group
tarik,Developer,Developer - Mid,Developer,3 - Mid-Level
tarineh,Support Analyst,Support Analyst - Sr,Support Analyst,4 - Senior
tarsilam,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
tarssito,Developer,Developer - Sr,Developer,4 - Senior
tasha,Product Director-Americas,Not Applicable,Not Applicable,5 - Master / Manager
tatianagm,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
tatianalopes,Scrum Master,Scrum Master,Scrum Master,4 - Senior
tatianemt,Product Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
tatianey,Scrum Master,Scrum Master,Scrum Master,4 - Senior
tauanygb,Business Analyst,Business Analyst - Mid,Business Analyst,3 - Mid-Level
taylanebn,Developer,Developer - Sr,Developer,4 - Senior
taylorh,Tester,QA - Mid,QA,3 - Mid-Level
taylory,Developer,Developer - Mid,Developer,3 - Mid-Level
taynasg,Developer,Developer - Jr,Developer,2 - Junior
tbarbam,Developer,Developer - Sr,Developer,4 - Senior
tbarboza,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
tbarion,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
tbecattini,Scrum Master,Scrum Master,Scrum Master,4 - Senior
tbsouza,Developer,Developer - Mid,Developer,3 - Mid-Level
tbykoski,Developer,Developer - Sr,Developer,4 - Senior
tcamargo,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
tcaznoca,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
tcesar,Developer,Developer - Sr,Developer,4 - Senior
tchierici,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
tcriscione,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
tcunha,Developer,Developer - Mid,Developer,3 - Mid-Level
tdallecio,Developer,Intern,Intern,1 - Intern
tdalmutt,Developer,Developer - Sr,Developer,4 - Senior
tdelgado,Squad Leader,Scrum Master,Scrum Master,4 - Senior
tdelpasso,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
tdestro,Project Manager,Project Manager,Project Manager,5 - Master / Manager
tdias,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
tdomingues,Developer,Developer - Mid,Developer,3 - Mid-Level
ted.fan,Developer,Developer - Sr,Developer,4 - Senior
tfabris,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
tferreira,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
tfirmino,Squad Leader,Scrum Master,Scrum Master,4 - Senior
tfranchin,Developer,Developer - Sr,Developer,4 - Senior
tfreitas,Developer,Developer - Sr,Developer,4 - Senior
tgoncalves,Developer,Developer - Sr,Developer,4 - Senior
tgouvea,Tester,QA - Sr,QA,4 - Senior
thailasl,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
thainafl,Squad Leader,Scrum Master,Scrum Master,4 - Senior
thais.rocha,Developer,Developer - Mid,Developer,3 - Mid-Level
thaisat,Project Manager,Project Manager,Project Manager,5 - Master / Manager
thaisc,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
thaiscorrea,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
thaisfm,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
thaisj,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
thaism,Developer,Developer - Mid,Developer,3 - Mid-Level
thaisoliveira,Product Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
thaispaula,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
thaissa,Developer,Developer - Mid,Developer,3 - Mid-Level
thaistome,Squad Leader,Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
thaistoni,Data & Analytics Leader,Data Analyst - Sr,Data Analyst,4 - Senior
thaisw,Tester,QA - Mid,QA,3 - Mid-Level
thaisxf,Developer,Developer - Mid,Developer,3 - Mid-Level
thalesadler,Developer,Developer - Sr,Developer,4 - Senior
thalesb,Developer,Developer - Jr,Developer,2 - Junior
thalesgs,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
thaleslt,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
thalesm,Developer,Developer - Mid,Developer,3 - Mid-Level
thalest,Developer,Developer - Mid,Developer,3 - Mid-Level
thallesf,Developer,Developer - Sr,Developer,4 - Senior
thallesr,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
thallysson,Developer,Developer - Sr,Developer,4 - Senior
thallytac,Developer,Developer - Mid,Developer,3 - Mid-Level
thamer.ayssami,Developer,Developer - Sr,Developer,4 - Senior
thamiresapr,Developer,Developer - Jr,Developer,2 - Junior
thamirescs,Tester,QA - Jr,QA,2 - Junior
thamiresg,Developer,Developer - Mid,Developer,3 - Mid-Level
thamiresv,Developer,Developer - Mid,Developer,3 - Mid-Level
thaynara,Tester,QA - Sr,QA,4 - Senior
thays.mendes,Not Applicable,Not Applicable,Not Applicable,4 - Senior
thaysfabri,Developer,Developer - Mid,Developer,3 - Mid-Level
thaysstella,UI Designer,UI Designer - Sr,UI Designer,4 - Senior
theo.patrizi,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
thiago.bortoletto,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
thiago.cezario,Developer,Developer - Sr,Developer,4 - Senior
thiago.chagas,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
thiago.guertes,Developer,Developer - Mid,Developer,3 - Mid-Level
thiago.lima,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
thiago.muller,Developer,Developer - Sr,Developer,4 - Senior
thiago.penha,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
thiago.quartarolo,Developer,Developer - Sr,Developer,4 - Senior
thiago.quintanilha,Product Designer Expert,UI Designer - Master,UI Designer,5 - Master / Manager
thiago.teixeira,Developer,Intern,Intern,1 - Intern
thiagoaa,Developer,Developer - Sr,Developer,4 - Senior
thiagoad,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
thiagoalves,Developer,Developer - Sr,Developer,4 - Senior
thiagoaraujo,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
thiagoarrais,Developer,Developer - Sr,Developer,4 - Senior
thiagoas,Developer,Developer - Sr,Developer,4 - Senior
thiagob,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
thiagobc,Developer,Developer - Mid,Developer,3 - Mid-Level
