Login,Role,Standard Role,Role Base Name,Role Group
aajordao,Developer Master,Developer - Master,Developer,5 - Master / Manager
aalbuquerque,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
aalessandro,Product Lead,UX Specialist - Sr,UX Specialist,4 - Senior
aalice,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
aaluizio,Developer,Developer - Sr,Developer,4 - Senior
aamantino,Developer,Developer - Mid,Developer,3 - Mid-Level
aamorim,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
aanzini,Developer,Developer - Mid,Developer,3 - Mid-Level
aaparecido,Developer,Developer - Sr,Developer,4 - Senior
aaristimunho,Developer,Developer - Jr,Developer,2 - Junior
aaronj,Tester,QA - Mid,QA,3 - Mid-Level
aaronk,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
aarruda,Tester,QA - Mid,QA,3 - Mid-Level
aaugusto,Developer,Developer - Sr,Developer,4 - Senior
aavelino,Developer,Developer - Mid,Developer,3 - Mid-Level
abambirra,Developer,Developer - Jr,Developer,2 - Junior
abaroni,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
abarreto,Developer,Developer - Sr,Developer,4 - Senior
abataglia,Developer,Developer - Sr,Developer,4 - Senior
abdalla,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
abdelrahmanw,Developer Master,Developer - Master,Developer,5 - Master / Manager
abenatti,Developer,Developer - Sr,Developer,4 - Senior
abertolini,Tester,QA - Mid,QA,3 - Mid-Level
abias,Developer,Developer - Mid,Developer,3 - Mid-Level
abizetto,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
abramides,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
absouza,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
acacios,Tester,QA - Sr,QA,4 - Senior
acamargo,Developer,Developer - Sr,Developer,4 - Senior
acapistrano,Developer,Developer - Mid,Developer,3 - Mid-Level
acardinalli,Developer,Intern,Intern,1 - Intern
acarneiro,Tester,QA - Sr,QA,4 - Senior
acassoli,Product Owner,Business Analyst - Sr,Business Analyst,4 - Senior
acastro,Scrum Master,Scrum Master,Scrum Master,4 - Senior
acferreira,Developer,Developer - Sr,Developer,4 - Senior
achiles,Developer,Developer - Sr,Developer,4 - Senior
acmon,Developer,Developer - Mid,Developer,3 - Mid-Level
acoladello,Developer,Developer - Mid,Developer,3 - Mid-Level
acporto,Product Development Manager,Product Manager,Product Manager,5 - Master / Manager
acustodio,Developer,Intern,Intern,1 - Intern
adairs,Developer,Developer - Mid,Developer,3 - Mid-Level
adao,Developer,Developer - Mid,Developer,3 - Mid-Level
adefavari,Developer Master,Developer - Master,Developer,6 - Master 2 / Senior Manager
adeiltonm,Developer,Developer - Mid,Developer,3 - Mid-Level
adeline,Support Master,Scrum Master,Scrum Master,4 - Senior
adelmo,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
ademirj,Developer,Developer - Jr,Developer,2 - Junior
adenilsonj,Developer,Developer - Sr,Developer,4 - Senior
adias,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
adiliosantos,Developer,Developer - Mid,Developer,3 - Mid-Level
adiltonc,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
adney,Developer,Developer - Mid,Developer,3 - Mid-Level
adolfoalves,Developer,Developer - Sr,Developer,4 - Senior
adonirand,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
adrian.alves,Infrastructure Analyst,Not Applicable,Not Applicable,4 - Senior
adriana.junco,Quality Analyst,QA - Sr,QA,4 - Senior
adrianac,Developer,Developer - Sr,Developer,4 - Senior
adrianaj,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
adrianamary,Tester,QA - Mid,QA,3 - Mid-Level
adrianavaz,Developer,Developer - Sr,Developer,4 - Senior
adriano.iank,Developer,Developer - Sr,Developer,4 - Senior
adriano.sabo,Developer Master,Developer - Master,Developer,5 - Master / Manager
adrianob,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
adrianobn,Data Developer Master,Data Developer - Master,Data Developer,5 - Master / Manager
adrianocs,Developer,Developer - Sr,Developer,4 - Senior
adrianodr,Developer,Developer - Mid,Developer,3 - Mid-Level
adrianoos,Developer,Developer - Mid,Developer,3 - Mid-Level
adrianopr,Developer Master,Developer - Master,Developer,5 - Master / Manager
adrianor,Developer,Intern,Intern,1 - Intern
adrianorl,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
adrianosg,Developer,Developer - Sr,Developer,4 - Senior
adrianov,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
adrianq,Tester,QA - Jr,QA,2 - Junior
adrielsc,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
adson.oliveira,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
aeciolopes,Developer,Developer - Sr,Developer,4 - Senior
aemenes,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
aemmerick,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
aespinola,Principal Data Architect,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
afabrini,Scrum Master,Squad Leader,Squad Leader,5 - Master / Manager
afarias,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
afelipe,Developer,Intern,Intern,1 - Intern
afernando,Developer,Developer - Jr,Developer,2 - Junior
aferraz,Squad Leader,Scrum Master,Scrum Master,4 - Senior
afmoraes,Developer,Developer - Jr,Developer,2 - Junior
afonseca,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
afonso,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
afonsolenzi,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
afonsolima,Developer,Developer - Sr,Developer,4 - Senior
afonsoribas,Developer,Developer - Mid,Developer,3 - Mid-Level
aforner,Developer,Developer - Sr,Developer,4 - Senior
afranklin,Project Manager,Project Manager,Project Manager,5 - Master / Manager
afurtado,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
agatha,Scrum Master,Scrum Master,Scrum Master,4 - Senior
agathamc,Data Developer Master,Data Developer - Master,Data Developer,5 - Master / Manager
agathar,Developer,Developer - Mid,Developer,3 - Mid-Level
agesualdi,Developer,Developer - Sr,Developer,4 - Senior
aginaldo.silva,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
agoncalves,Developer,Developer - Sr,Developer,4 - Senior
agrygonis,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
aguiar,Developer,Developer - Sr,Developer,4 - Senior
aguinaldojunior,Scrum Master,Scrum Master,Scrum Master,4 - Senior
aheleno,Tester,QA - Mid,QA,3 - Mid-Level
ailtonmj,Support Analyst,Support Analyst - Sr,Support Analyst,4 - Senior
airx,Developer,Developer - Mid,Developer,3 - Mid-Level
aislanmichel,Developer,Developer - Mid,Developer,3 - Mid-Level
aiub,"Senior Director, Architecture",Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
ajung,Tester,QA - Sr,QA,4 - Senior
akieras,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
akotsubo,Developer,Intern,Intern,1 - Intern
akuster,Developer,Developer - Mid,Developer,3 - Mid-Level
alairsouza,Tester,QA - Mid,QA,3 - Mid-Level
alan.naicson,Developer,Developer - Sr,Developer,4 - Senior
alan.saikale,"Senior Director, Architecture",Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
alan.souza,Developer,Developer - Mid,Developer,3 - Mid-Level
alanafr,Data Architect,Not Applicable,Not Applicable,4 - Senior
alanaw,Developer,Developer - Mid,Developer,3 - Mid-Level
alanbatista,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
alancb,Developer,Developer - Mid,Developer,3 - Mid-Level
alangm,Developer,Developer - Sr,Developer,4 - Senior
alangoncalves,Developer,Developer - Mid,Developer,3 - Mid-Level
alanisgr,UI Designer,UI Designer - Jr,UI Designer,2 - Junior
alanl,Developer,Developer - Sr,Developer,4 - Senior
alanmoreira,Developer,Developer - Mid,Developer,3 - Mid-Level
alanneres,Developer,Developer - Sr,Developer,4 - Senior
alannishida,Tester,QA - Mid,QA,3 - Mid-Level
alanpassos,Developer,Developer - Sr,Developer,4 - Senior
alanraldi,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
alans,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
alansn,Tester,QA - Mid,QA,3 - Mid-Level
alanv,Tester,QA - Mid,QA,3 - Mid-Level
alanwm,Tester,QA - Sr,QA,4 - Senior
alberlan,Developer,Developer - Sr,Developer,4 - Senior
albertcr,Developer,Developer - Sr,Developer,4 - Senior
albertjp,Developer,Developer - Sr,Developer,4 - Senior
alberts,Developer,Developer - Sr,Developer,4 - Senior
alcionej,Developer,Developer - Sr,Developer,4 - Senior
aldrey,Squad Leader,Scrum Master,Scrum Master,4 - Senior
aldria,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
aleander,Developer,Developer - Sr,Developer,4 - Senior
alecsandro,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
aleffremberto,Developer,Developer - Mid,Developer,3 - Mid-Level
alehandrof,Developer,Developer - Sr,Developer,4 - Senior
alejandra.bareno,Senior Product Manager-Americas,UX Specialist - Sr,UX Specialist,4 - Senior
alejandro.barbosa,Developer,Developer - Sr,Developer,4 - Senior
alejandro.cardona,Developer,Developer - Sr,Developer,4 - Senior
alejandro.espinosa,Quality Analyst,QA - Sr,QA,4 - Senior
alejandro.perez,Developer,Developer - Mid,Developer,3 - Mid-Level
alejandros,Developer,Developer - Sr,Developer,4 - Senior
aleksei,Digital Strategist,Digital Strategist,Digital Strategist,5 - Master / Manager
aleonello,Developer,Developer - Sr,Developer,4 - Senior
alessandrafl,Developer,Developer - Jr,Developer,2 - Junior
alessandrak,Scrum Master,Scrum Master,Scrum Master,4 - Senior
alessandram,Developer,Developer - Mid,Developer,3 - Mid-Level
alessandrard,Project Manager,Project Manager,Project Manager,5 - Master / Manager
alessandrav,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
alessandro.breves,Developer,Developer - Sr,Developer,4 - Senior
alessandroj,Developer,Developer - Mid,Developer,3 - Mid-Level
alessandron,Developer,Developer - Mid,Developer,3 - Mid-Level
alex,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
alex.gass,Senior Client Manager-Americas,Not Applicable,Not Applicable,4 - Senior
alex.venturini,Developer,Developer - Sr,Developer,4 - Senior
alexander.dias,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
alexanderj,Developer,Developer - Jr,Developer,2 - Junior
alexandra.bagao,Product Director-EMEA,Product Manager,Product Manager,5 - Master / Manager
alexandracs,Tester,QA - Mid,QA,3 - Mid-Level
alexandre.lara,Scrum Master,Scrum Master,Scrum Master,4 - Senior
alexandre.porto,Not Applicable,Not Applicable,Not Applicable,4 - Senior
alexandre.ramos,Developer,Developer - Sr,Developer,4 - Senior
alexandream,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
alexandrecr,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
alexandrefm,Developer,Developer - Sr,Developer,4 - Senior
alexandrefp,Developer,Developer - Sr,Developer,4 - Senior
alexandrefs,Developer,Developer - Mid,Developer,3 - Mid-Level
alexandrefv,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
alexandrejs,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
alexandrelf,Developer,Developer - Sr,Developer,4 - Senior
alexandrelopes,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
alexandrelp,Tester,QA - Sr,QA,4 - Senior
alexandremo,Tester,QA - Sr,QA,4 - Senior
alexandren,Developer,Developer - Sr,Developer,4 - Senior
alexandrenf,Developer,Developer - Jr,Developer,2 - Junior
alexandrenovaes,Developer,Developer - Sr,Developer,4 - Senior
alexandreo,Developer,Developer - Mid,Developer,3 - Mid-Level
alexandrerf,Developer,Developer - Sr,Developer,4 - Senior
alexandresantos,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
alexandreso,Tester,QA - Mid,QA,3 - Mid-Level
alexandrev,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
alexandrino,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
alexbruno,Tester,QA - Mid,QA,3 - Mid-Level
alexcarvalho,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
alexchen,Developer,Developer - Sr,Developer,4 - Senior
alexcm,Developer,Developer - Mid,Developer,3 - Mid-Level
alexcorrea,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
alexdm,Developer,Intern,Intern,1 - Intern
alexfo,Developer,Developer - Jr,Developer,2 - Junior
alexh,Developer,Developer - Jr,Developer,2 - Junior
alexias,Developer,Intern,Intern,1 - Intern
alexj,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
alexkita,Group Product Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
alexrebello,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
alexrs,Developer Master,Developer - Master,Developer,5 - Master / Manager
alexsander,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
alexsandern,Developer,Developer - Mid,Developer,3 - Mid-Level
alexsanders,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
alexw,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
alexws,Developer,Developer - Sr,Developer,4 - Senior
alfies,Developer,Developer - Sr,Developer,4 - Senior
alfredojunior,Tester,QA - Mid,QA,3 - Mid-Level
alfredop,Data Scientist,Data Scientist - Sr,Data Scientist,4 - Senior
alianne,Commercial Partner Coordinator,Not Applicable,Not Applicable,4 - Senior
alice,Content Strategist,Not Applicable,Not Applicable,4 - Senior
alicec,Associate Developer,Developer - Sr,Developer,4 - Senior
alicek,Developer,Developer - Jr,Developer,2 - Junior
alicels,Developer,Developer - Mid,Developer,3 - Mid-Level
alicem,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
alicemussolin,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
alicepm,Developer,Developer - Mid,Developer,3 - Mid-Level
alichen,Developer,Developer - Jr,Developer,2 - Junior
alinafs,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
aline.castro,Developer,Developer - Mid,Developer,3 - Mid-Level
aline.fadel,Tester,QA - Sr,QA,4 - Senior
aline.martins,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
alinecassia,Tester,QA - Mid,QA,3 - Mid-Level
alinechahine,Developer,Developer - Mid,Developer,3 - Mid-Level
alinefl,Tester,QA - Mid,QA,3 - Mid-Level
alineg,Developer,Developer - Mid,Developer,3 - Mid-Level
alinegoncalves,Scrum Master,Scrum Master,Scrum Master,4 - Senior
alineic,Tester,QA - Mid,QA,3 - Mid-Level
alinelage,Tester,QA - Jr,QA,2 - Junior
alinelima,Tester,QA - Mid,QA,3 - Mid-Level
alinels,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
alinemg,Tester,QA - Mid,QA,3 - Mid-Level
alinems,Tester,QA - Sr,QA,4 - Senior
alines,Developer,Intern,Intern,1 - Intern
alinesc,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
alinetr,Tester,QA - Mid,QA,3 - Mid-Level
alinianys,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
alinsong,Developer,Developer - Jr,Developer,2 - Junior
alisboa,Developer,Developer - Sr,Developer,4 - Senior
alisoncs,Data Developer Master,Data Developer - Master,Data Developer,5 - Master / Manager
alisson.rosa,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
alissongs,Developer,Developer - Sr,Developer,4 - Senior
alissonlabres,Developer,Developer - Sr,Developer,4 - Senior
alissonlc,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
alisterf,Developer,Developer - Sr,Developer,4 - Senior
allan.rodrigues,Specialist Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
allanc,Project Manager,Project Manager,Project Manager,5 - Master / Manager
alland,Developer,Intern,Intern,1 - Intern
allanderick,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
allandf,Developer,Developer - Mid,Developer,3 - Mid-Level
allanericson,Developer,Developer - Mid,Developer,3 - Mid-Level
allanfernandes,Developer,Developer - Sr,Developer,4 - Senior
allankevyn,Developer,Developer - Mid,Developer,3 - Mid-Level
allanlenhardt,Developer,Developer - Sr,Developer,4 - Senior
allanleonardo,Developer,Developer - Sr,Developer,4 - Senior
allanpp,Developer,Developer - Sr,Developer,4 - Senior
allanridolfi,Squad Leader,Scrum Master,Scrum Master,4 - Senior
allans,Developer,Developer - Sr,Developer,4 - Senior
allansoberanski,Developer,Developer - Mid,Developer,3 - Mid-Level
allenz,Developer Master,Developer - Master,Developer,5 - Master / Manager
alleson,Tester,QA - Mid,QA,3 - Mid-Level
allexandredeolindo,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
allinnec,Developer,Developer - Sr,Developer,4 - Senior
allinny,Developer,Developer - Mid,Developer,3 - Mid-Level
allisonbarros,Developer,Developer - Sr,Developer,4 - Senior
allysonlima,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
allyssonluiz,Developer,Developer - Sr,Developer,4 - Senior
almedeiros,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
almirfj,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
aloanrocha,Developer,Developer - Mid,Developer,3 - Mid-Level
aloisiosoares,Developer,Developer - Sr,Developer,4 - Senior
alozano,Developer,Developer - Mid,Developer,3 - Mid-Level
alquipo,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
alucchetta,Developer,Developer - Sr,Developer,4 - Senior
aluisaf,Lead UX Designer,UX Specialist - Master,UX Specialist,5 - Master / Manager
aluisios,Developer,Developer - Sr,Developer,4 - Senior
alvaro.acosta,Developer,Developer - Sr,Developer,4 - Senior
alvaro.rodriguez,Developer,Developer - Sr,Developer,4 - Senior
alvaroap,Developer,Developer - Mid,Developer,3 - Mid-Level
alvarod,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
alvarof,Developer,Developer - Sr,Developer,4 - Senior
alvaroj,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
alvarop,Developer,Developer - Sr,Developer,4 - Senior
alyssonb,Data Developer,Data Developer - Jr,Data Developer,2 - Junior
alyssont,Developer,Intern,Intern,1 - Intern
alyssonv,Tester,QA - Mid,QA,3 - Mid-Level
alyxsonm,Developer,Developer - Jr,Developer,2 - Junior
amadeu,Tester,QA - Mid,QA,3 - Mid-Level
amanda.alves,Not Applicable,Not Applicable,Not Applicable,3 - Mid-Level
amanda.mendes,Tester,QA - Sr,QA,4 - Senior
amanda.miranda,Product Designer,UI Designer - Sr,UI Designer,4 - Senior
amanda.moura,Not Applicable,Not Applicable,Not Applicable,3 - Mid-Level
amanda.rodrigues,Developer,Developer - Sr,Developer,4 - Senior
amandab,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
amandabg,Talent Attraction Specialist,Not Applicable,Not Applicable,3 - Mid-Level
amandabraz,Developer Master,Developer - Master,Developer,5 - Master / Manager
amandacm,Tester Master,QA - Master,QA,5 - Master / Manager
amandacs,Developer,Developer - Mid,Developer,3 - Mid-Level
amandaeb,Tester,QA - Sr,QA,4 - Senior
amandagaldino,Tester,QA - Mid,QA,3 - Mid-Level
amandagl,Tester,QA - Mid,QA,3 - Mid-Level
amandah,Tester,QA - Mid,QA,3 - Mid-Level
amandak,Developer,Developer - Sr,Developer,4 - Senior
amandakehl,Developer,Developer - Mid,Developer,3 - Mid-Level
amandams,Developer,Developer - Jr,Developer,2 - Junior
amandapicoli,Developer,Developer - Sr,Developer,4 - Senior
amandaq,Principal Software Developer,Developer - Master,Developer,6 - Master 2 / Senior Manager
amandar,Developer,Developer - Sr,Developer,4 - Senior
amandars,Developer,Developer - Mid,Developer,3 - Mid-Level
amandasantos,Tester,QA - Sr,QA,4 - Senior
amandasauer,Tester,QA - Sr,QA,4 - Senior
amandasr,Developer,Developer - Sr,Developer,4 - Senior
amandass,Developer,Developer - Jr,Developer,2 - Junior
amandavieira,Developer,Developer - Jr,Developer,2 - Junior
amandazg,Developer,Developer - Jr,Developer,2 - Junior
amartinho,Scrum Master,Scrum Master,Scrum Master,4 - Senior
amattje,Developer,Developer - Sr,Developer,4 - Senior
ambery,Developer,Developer - Mid,Developer,3 - Mid-Level
amelia,Product Designer,Not Applicable,Not Applicable,3 - Mid-Level
ameliak,Developer,Developer - Mid,Developer,3 - Mid-Level
amelo,Developer,Developer - Sr,Developer,4 - Senior
amiltonpm,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
aminab,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
amit,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
amolinari,Developer,Developer - Mid,Developer,3 - Mid-Level
amon.avellar,UX Designer,UX Specialist - Sr,UX Specialist,4 - Senior
amontoro,Tester,QA - Mid,QA,3 - Mid-Level
amoraes,Group Product Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
amostaro,Developer,Developer - Mid,Developer,3 - Mid-Level
amotta,Senior Product Manager-Americas,UX Specialist - Sr,UX Specialist,4 - Senior
ana.antunes,Tester,QA - Sr,QA,4 - Senior
ana.carvalho,Developer,Developer - Sr,Developer,4 - Senior
ana.guerra,Not Applicable,Not Applicable,Not Applicable,3 - Mid-Level
ana.monteiro,Developer,Developer - Sr,Developer,4 - Senior
ana.moreira,Tester,QA - Mid,QA,3 - Mid-Level
ana.pires,Developer,Developer - Mid,Developer,3 - Mid-Level
ana.santos,Developer,Developer - Mid,Developer,3 - Mid-Level
anaantunes,Scrum Master,Scrum Master,Scrum Master,4 - Senior
anaazevedo,Squad Leader,Scrum Master,Scrum Master,4 - Senior
anabeatriz,Developer,Developer - Mid,Developer,3 - Mid-Level
anabm,Data Scientist Master,Data Scientist - Master,Data Scientist,5 - Master / Manager
anabrambila,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
anacarolinars,Product Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
anacecchetto,Tester,QA - Mid,QA,3 - Mid-Level
anacp,Developer,Developer - Mid,Developer,3 - Mid-Level
anadc,Developer,Intern,Intern,1 - Intern
anaelisacn,Developer,Developer - Jr,Developer,2 - Junior
anaf,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
anafelix,Developer,Developer - Sr,Developer,4 - Senior
anafermino,Developer,Developer - Mid,Developer,3 - Mid-Level
anafg,Team Leader,Scrum Master,Scrum Master,4 - Senior
anafl,Product Owner,Business Analyst - Sr,Business Analyst,4 - Senior
anagarbelini,Support Master,Scrum Master,Scrum Master,4 - Senior
anagomes,Business Analyst,Business Analyst - Mid,Business Analyst,3 - Mid-Level
anaizabel,Developer,Developer - Sr,Developer,4 - Senior
anakg,Developer,Developer - Mid,Developer,3 - Mid-Level
analouise,Developer,Developer - Mid,Developer,3 - Mid-Level
analuiza,Tester,QA - Sr,QA,4 - Senior
analuizagc,Developer,Developer - Mid,Developer,3 - Mid-Level
anamb,Senior Digital Strategist,Senior Digital Strategist,Senior Digital Strategist,6 - Master 2 / Senior Manager
anamc,Tester,QA - Mid,QA,3 - Mid-Level
anamg,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
anamitsou,Data Developer Master,Data Developer - Master,Data Developer,5 - Master / Manager
anamr,Data & Analytics Manager,Not Applicable,Not Applicable,4 - Senior
anamv,Developer,Developer - Mid,Developer,3 - Mid-Level
anapb,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
anapiva,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
anapp,Tester,QA - Mid,QA,3 - Mid-Level
anaprugger,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
anar,Developer,Developer - Mid,Developer,3 - Mid-Level
anarodrigues,Data Scientist,Data Scientist - Mid,Data Scientist,3 - Mid-Level
anaschramm,Tester,QA - Mid,QA,3 - Mid-Level
anasd,Developer,Developer - Mid,Developer,3 - Mid-Level
anatartari,Developer,Developer - Mid,Developer,3 - Mid-Level
anathais,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
anavilela,Developer,Developer - Mid,Developer,3 - Mid-Level
anazocca,Developer,Developer - Jr,Developer,2 - Junior
anderson.augusto,Developer,Developer - Mid,Developer,3 - Mid-Level
anderson.osorio,Developer,Developer - Mid,Developer,3 - Mid-Level
anderson.otuka,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
anderson.rosa,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
anderson.silva,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
andersonaf,Specialist Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
andersonbc,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
andersoncc,Developer,Developer - Sr,Developer,4 - Senior
andersondj,Developer,Developer - Jr,Developer,2 - Junior
andersonds,Developer,Developer - Sr,Developer,4 - Senior
andersonfaian,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
andersonfc,Developer,Developer - Sr,Developer,4 - Senior
andersonfernandes,Developer Master,Developer - Master,Developer,5 - Master / Manager
andersonferreira,Developer,Developer - Sr,Developer,4 - Senior
andersongil,Senior Digital Strategist,Senior Digital Strategist,Senior Digital Strategist,6 - Master 2 / Senior Manager
andersonh,Developer,Developer - Sr,Developer,4 - Senior
andersonld,Developer,Developer - Sr,Developer,4 - Senior
andersonls,Developer,Developer - Sr,Developer,4 - Senior
andersonlw,Principal Data Scientist,Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
andersonn,Developer Master,Developer - Master,Developer,5 - Master / Manager
andersonr,Developer Master,Developer - Master,Developer,5 - Master / Manager
andersonrs,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
andersonss,Developer,Developer - Sr,Developer,4 - Senior
andersonw,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
andersonwagner,Tester,QA - Sr,QA,4 - Senior
andiealcarmona,Support Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
andre.albaranz,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
andre.campos,Developer,Developer - Sr,Developer,4 - Senior
andre.gava,Developer,Developer - Sr,Developer,4 - Senior
andre.matos,Developer,Developer - Mid,Developer,3 - Mid-Level
andre.menegon,Developer,Developer - Sr,Developer,4 - Senior
andre.pacheco,Developer,Developer - Sr,Developer,4 - Senior
andre.rabelo,Developer,Developer - Sr,Developer,4 - Senior
andre.santos,Developer,Developer - Mid,Developer,3 - Mid-Level
andrea.cortes,Quality Analyst,Not Applicable,Not Applicable,5 - Master / Manager
andreac,Squad Leader,Scrum Master,Scrum Master,4 - Senior
andreacoimbra,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
andreaf,Tester,QA - Mid,QA,3 - Mid-Level
andreag,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
andreasoares,Developer,Developer - Mid,Developer,3 - Mid-Level
andreavila,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
andrebeletti,Developer Master,Developer - Master,Developer,5 - Master / Manager
andrebento,Developer,Developer - Sr,Developer,4 - Senior
andrebs,Developer,Developer - Mid,Developer,3 - Mid-Level
andrebt,Project Manager,Project Manager,Project Manager,5 - Master / Manager
andrecamargo,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
andrecarraro,Developer,Developer - Sr,Developer,4 - Senior
andrecb,Developer,Developer - Mid,Developer,3 - Mid-Level
andrechalom,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
andrecv,Developer,Developer - Sr,Developer,4 - Senior
